Entity,Year,WorldHappinessReport
Afghanistan,2017,2.6617181
Albania,2017,4.6395483
Algeria,2017,5.2489123
Argentina,2017,6.0393300000000005
Armenia,2017,4.2877364
Australia,2017,7.2570375999999985
Austria,2017,7.293727900000001
Azerbaijan,2017,5.1522794
Bahrain,2017,6.2273207
Bangladesh,2017,4.3097711
Belarus,2017,5.5529151
Belgium,2017,6.9283475999999995
Benin,2017,4.8531809
Bolivia,2017,5.6505527
Bosnia and Herzegovina,2017,5.089902400000001
Botswana,2017,3.5048811
Brazil,2017,6.332929099999999
Bulgaria,2017,5.0969019
Burkina Faso,2017,4.6468910999999995
Cambodia,2017,4.5858421
Cameroon,2017,5.0740514
Central African Republic,2017,3.4758620000000002
Chad,2017,4.5589371
Chile,2017,6.3201194
China,2017,5.0990614999999995
Colombia,2017,6.157342
Congo,2017,4.8839912000000005
Costa Rica,2017,7.225181599999999
Cote d'Ivoire,2017,5.037735
Croatia,2017,5.343165900000001
Cyprus,2017,6.0620513
Czech Republic,2017,6.789567900000001
Democratic Republic of Congo,2017,4.3110332
Denmark,2017,7.5937023
Dominican Republic,2017,5.6052027
Ecuador,2017,5.8395185
Egypt,2017,3.9293442
El Salvador,2017,6.3393182999999995
Estonia,2017,5.938396
Ethiopia,2017,4.1803155
Finland,2017,7.7882519
France,2017,6.6352224
Gabon,2017,4.782383
Georgia,2017,4.4507747
Germany,2017,7.0743246
Ghana,2017,5.4813108
Greece,2017,5.1482415
Guatemala,2017,6.325118499999999
Guinea,2017,4.8737226
Haiti,2017,3.8238657
Honduras,2017,6.0199857
Hong Kong,2017,5.3624749000000005
Hungary,2017,6.065038700000001
Iceland,2017,7.476213900000001
India,2017,4.0461111
Indonesia,2017,5.0984015
Iran,2017,4.716783
Iraq,2017,4.462399
Ireland,2017,7.0601554
Israel,2017,7.331036099999999
Italy,2017,6.198870200000001
Jamaica,2017,5.889759099999999
Japan,2017,5.9106765
Jordan,2017,4.8080826
Kazakhstan,2017,5.8823514
Kenya,2017,4.4756541
Kosovo,2017,6.1492
Kuwait,2017,6.093905400000001
Kyrgyzstan,2017,5.6295366
Laos,2017,4.6231408
Latvia,2017,5.9778175000000005
Lebanon,2017,5.1539898
Liberia,2017,4.4244909
Libya,2017,5.6468525000000005
Lithuania,2017,6.272940599999999
Luxembourg,2017,7.0613809000000005
Macedonia,2017,5.2338667
Madagascar,2017,4.0786204
Malawi,2017,3.4168629999999998
Mali,2017,4.7418504
Malta,2017,6.6756659
Mauritania,2017,4.6781597
Mauritius,2017,6.1741176
Mexico,2017,6.410299299999999
Moldova,2017,5.3255305
Mongolia,2017,5.3338504
Montenegro,2017,5.6147985
Morocco,2017,5.3124828
Mozambique,2017,4.279863400000001
Myanmar,2017,4.1543417
Namibia,2017,4.441306099999999
Nepal,2017,4.736692400000001
Netherlands,2017,7.458965299999999
New Zealand,2017,7.327182799999999
Nicaragua,2017,6.4763565000000005
Niger,2017,4.6156735
Nigeria,2017,5.321928
Norway,2017,7.578744900000001
Pakistan,2017,5.8308706
Palestine,2017,4.6281328
Panama,2017,6.5676589000000005
Peru,2017,5.7109365
Philippines,2017,5.5942702
Poland,2017,6.2012682
Portugal,2017,5.7114991999999996
Romania,2017,6.089904799999999
Russia,2017,5.578743
Saudi Arabia,2017,6.2942824
Senegal,2017,4.6830249
Serbia,2017,5.1220312
Sierra Leone,2017,4.089562399999999
Singapore,2017,6.378438
Slovakia,2017,6.365508999999999
Slovenia,2017,6.1668377
South Africa,2017,4.5136552000000005
South Korea,2017,5.8738871
South Sudan,2017,2.8166225
Spain,2017,6.2301731
Sri Lanka,2017,4.3309455
Sweden,2017,7.2868047
Switzerland,2017,7.4735932
Taiwan,2017,6.3594508
Tajikistan,2017,5.829234099999999
Tanzania,2017,3.3471212
Thailand,2017,5.9388952
Togo,2017,4.360805
Trinidad and Tobago,2017,6.1918597
Tunisia,2017,4.124342899999999
Turkey,2017,5.6072621
Turkmenistan,2017,5.2291489
Uganda,2017,4.0005169
Ukraine,2017,4.3110671
United Arab Emirates,2017,7.0394197
United Kingdom,2017,7.1032734
United States,2017,6.991759299999999
Uruguay,2017,6.33601
Uzbekistan,2017,6.421447799999999
Vietnam,2017,5.175278700000001
Yemen,2017,3.2535601
Zambia,2017,3.9327774
Zimbabwe,2017,3.6383002
